Date,State,Deaths,ICU Hospitalizations,Positive Viral Cases,Positive Increase,Total Test Results,Test Increase
2020-08-02,NY,6,143.0,0,531,6030935,58961
2020-08-02,CA,132,2119.0,509162,9032,8035975,149388
2020-08-01,NY,14,147.0,0,753,5971974,82737
2020-08-01,CA,219,2120.0,500130,6542,7886587,75546
2020-07-31,NY,5,140.0,0,644,5889237,68869
2020-07-31,CA,96,2163.0,493588,8086,7811041,177201
2020-07-30,NY,13,142.0,0,777,5820368,73546
2020-07-30,CA,194,2220.0,485502,10197,7633840,116374
2020-07-29,NY,6,154.0,0,715,5746822,62276
2020-07-29,CA,197,2209.0,475305,8755,7517466,99600
2020-07-28,NY,9,152.0,0,534,5684546,57397
2020-07-28,CA,73,2198.0,466550,6000,7417866,121288
2020-07-27,NY,11,149.0,0,608,5627149,57270
2020-07-27,CA,29,2284.0,460550,6891,7296578,128439
2020-07-26,NY,3,155.0,0,536,5569879,53568
2020-07-26,CA,79,2284.0,453659,8259,7168139,120784
2020-07-25,NY,13,149.0,0,750,5516311,71466
2020-07-25,CA,151,2284.0,445400,10066,7047355,131479
2020-07-24,NY,9,156.0,0,753,5444845,76507
2020-07-24,CA,159,2284.0,435334,9718,6915876,137572
2020-07-23,NY,13,160.0,0,811,5368338,69698
2020-07-23,CA,157,2284.0,425616,12040,6778304,113885
2020-07-22,NY,10,179.0,0,705,5298640,67659
2020-07-22,CA,115,2284.0,413576,12807,6664419,127487
2020-07-21,NY,2,163.0,0,855,5230981,66169
2020-07-21,CA,61,2226.0,400769,9231,6536932,122611
2020-07-20,NY,8,158.0,0,519,5164812,49342
2020-07-20,CA,9,2157.0,391538,6846,6414321,127469
2020-07-19,NY,13,160.0,0,502,5115470,46204
2020-07-19,CA,90,2107.0,384692,9329,6286852,119634
2020-07-18,NY,11,172.0,0,754,5069266,69817
2020-07-18,CA,120,2125.0,375363,9199,6167218,123119
2020-07-17,NY,10,179.0,0,776,4999449,78239
2020-07-17,CA,130,2153.0,366164,9986,6044099,128591
2020-07-16,NY,11,165.0,0,769,4921210,72685
2020-07-16,CA,118,2120.0,356178,8544,5915508,122232
2020-07-15,NY,9,165.0,0,831,4848525,63598
2020-07-15,CA,140,2110.0,347634,11126,5793276,118321
2020-07-14,NY,5,167.0,0,912,4784927,60045
